id,url,business_entity_name,trading_name,abn,details_last_updated
629,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=629, A.M Joseph & B.J Sundell,Contact Publicity,16134764214,2016-07-08
786,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=786,2Triple4 Financial Group Pty Ltd,Rednet Business Solutions,36128046784,2016-12-23
271,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=271,A D Evers-Buckland,A D EVERS-BUCKLAND,72963316425,2016-06-16
605,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=605,ABAKUS - Aircraft and Aviation Specialists Pty Limited,ABAKUS - Aircraft and Aviation Specialists Pty Limited,80060862704,2016-07-04
746,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=746,Advisory Street Pty Ltd,Advisory Street,28613329472,2016-09-27
36,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=36,Aegis Consulting Group Pty Ltd,Aegis Consulting Australia ,32100477147,2016-07-28
37,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=37,Aequum Pty Ltd,Aequum Pty Ltd,64068639912,2016-10-05
104,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=104,Alkar Pty Ltd,Allan King Consultancy,16007797793,2016-07-14
671,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=671,ALSADA TECHNOLOGY PTY. LIMITED ,ASD TECHNOLOGY,94096034150,2016-07-07
745,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=745,AMG Consulting Services Pty Ltd,AMG Consulting Services Pty Ltd,40169514774,2016-07-06
666,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=666,APEC Lawyers and Consultants Pty Ltd.,Samleunglaw,73602849516,2016-08-25
415,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=415,APS Networking Pty Ltd,APS Networking Pty Ltd,55150394764,2016-06-19
588,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=588,Argos Consulting,Argos Consulting,"",2016-07-22
499,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=499,Asia Pacific Corporation Pty Ltd,Asia Pacific Corporation,49010868112,2016-06-16
379,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=379,assetpr,assetpr,37134426716,2016-06-16
770,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=770,Asys Consulting,Policy Counsel,74068259683,2016-10-13
781,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=781,Atherton Advisory Pty Ltd,Atherton Advisory Pty Ltd,69010439317,2016-12-13
63,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=63,AusAccess Unit Trust,AusAccess Pty Limited,80903159148,2016-10-05
747,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=747,Australian Industry Facilitation,Australian Industry Facilitation,66717384554,2016-07-22
234,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=234,Australian Project Developments Pty. Ltd.,Cockatoo Network,58076830530,2016-07-14
45,http://lobbyists.pmc.gov.au/register/view_agency.cfm?id=45,Australian Public Affairs Limited Partnership,Australian Public Affairs,20098705403,2016-09-09
