agency_id,agency_business_entity_name,client_name
362,89 Degrees East Pty Ltd,Australian News Channel
362,89 Degrees East Pty Ltd,Brotherhood of St Laurence
362,89 Degrees East Pty Ltd,Raising Children Network
362,89 Degrees East Pty Ltd,Skinny Fish Music
362,89 Degrees East Pty Ltd,Reconciliation Australia
362,89 Degrees East Pty Ltd,Supply Nation
362,89 Degrees East Pty Ltd,Truth Justice and Healing Council
362,89 Degrees East Pty Ltd,National Disability and Carer Alliance
362,89 Degrees East Pty Ltd,Foundation for Young Australians
271,A D Evers-Buckland,Association of Liquor Licensees Melbourne
271,A D Evers-Buckland,Palace Pty Ltd (The Palace Theatre Melbourne)
271,A D Evers-Buckland,Concert Lighting Systems
271,A D Evers-Buckland,Red Engine Group Pty Ltd
605,ABAKUS - Aircraft and Aviation Specialists Pty Limited,Rafael  Advanced Defense Systems Limited
36,Aegis Consulting Group Pty Ltd,EdenRed
36,Aegis Consulting Group Pty Ltd,Global Renewables
36,Aegis Consulting Group Pty Ltd,Ardent Leisure 
36,Aegis Consulting Group Pty Ltd,Novartis Pharmaceuticals 
36,Aegis Consulting Group Pty Ltd,One80TC
36,Aegis Consulting Group Pty Ltd,Club Plus Superannuation
37,Aequum Pty Ltd,Westfund Health Ltd
522,Alex Gosman Consulting,Australian Self Medication Industry
522,Alex Gosman Consulting,Willard Consulting
104,Alkar Pty Ltd,NT Airports
104,Alkar Pty Ltd,Galbraith & Co.
104,Alkar Pty Ltd,Converga 
104,Alkar Pty Ltd,Aviation/Aerospace Australia
104,Alkar Pty Ltd,Manufacturing Skills Australia
671,ALSADA TECHNOLOGY PTY. LIMITED ,L-3 Narda-MITEQ
671,ALSADA TECHNOLOGY PTY. LIMITED ,L-3 Communications 
666,APEC Lawyers and Consultants Pty Ltd.,Australian Chinese General Chamber of Business
415,APS Networking Pty Ltd,Clubs Australia
415,APS Networking Pty Ltd,Clubs NSW
588,Argos Consulting,Phoenix Compliance Management Pty Ltd
588,Argos Consulting,Daily Update Pty Ltd
499,Asia Pacific Corporation Pty Ltd,Australia Pacific LNG
379,assetpr,McCain Foods
379,assetpr,Institute for Legal Reform
63,AusAccess Unit Trust,Samsung Techwin
63,AusAccess Unit Trust,Global Defence Industries
63,AusAccess Unit Trust,TECC Pty Ltd
63,AusAccess Unit Trust,Aboriginal AG-Arts Residency Kenmore Limited
63,AusAccess Unit Trust,Genesys Labs
63,AusAccess Unit Trust,Berrigan District Aged Care Association
63,AusAccess Unit Trust,Daewoo Shipbuilding and Marine Engineering (DSME)
63,AusAccess Unit Trust,Hardcat Pty Ltd
233,Australian Industry Involvement Services,General Electric Aviation
234,Australian Project Developments Pty. Ltd.,Eastern Region Alliance
234,Australian Project Developments Pty. Ltd.,Campbelltown City Council
234,Australian Project Developments Pty. Ltd.,Cape York Sustainable Futures
234,Australian Project Developments Pty. Ltd.,City of Playford
234,Australian Project Developments Pty. Ltd.,HydroSun Ltd
234,Australian Project Developments Pty. Ltd.,Adelaide City Council
234,Australian Project Developments Pty. Ltd.,Alexandrina Council
234,Australian Project Developments Pty. Ltd.,Moira Shire Council
234,Australian Project Developments Pty. Ltd.,Wakefield Group
234,Australian Project Developments Pty. Ltd.,Jerilderie Shire Council
45,Australian Public Affairs Limited Partnership,Aviagen Australia Pty Ltd
45,Australian Public Affairs Limited Partnership,Aviagen NZ Ltd
45,Australian Public Affairs Limited Partnership,Wesley Institute
45,Australian Public Affairs Limited Partnership,Indiana Wesleyan University
45,Australian Public Affairs Limited Partnership,Red Bull GbmH
135,Australian Spectrum Consultants Pty Ltd,Globalstar Inc
135,Australian Spectrum Consultants Pty Ltd,Qualcomm International
135,Australian Spectrum Consultants Pty Ltd,Pivotel Group Pty Ltd
135,Australian Spectrum Consultants Pty Ltd,PoleStar SA
42,Aviops Pty Ltd acting as trustee for the McCormack Family Trust,Chemring Australia Pty Ltd
42,Aviops Pty Ltd acting as trustee for the McCormack Family Trust,General Electric Aviation
42,Aviops Pty Ltd acting as trustee for the McCormack Family Trust,Quickstep Holdings Ltd
413,BAE Systems Australia Limited,ITT Excelis
513,Barry Charles Matson,FE Technologies
513,Barry Charles Matson,Spectrovation.Com LLC
513,Barry Charles Matson,The Trustee for the Reed Licensing Trust
513,Barry Charles Matson,DJ Consulting Services Limited Company number 04129551 12 Tybenham Road London SW193LA United Kingdo
513,Barry Charles Matson,Inmarsat Global Limited 99 City Road London EC1Y 1AX England  http://www.inmarsat.com/
513,Barry Charles Matson,Inmarsat Australia PTY Limited ABN 19 090 853 080
139,Bartholomew Quinn and Associates,Waterfront Business Community
139,Bartholomew Quinn and Associates,Shaw Contracting
139,Bartholomew Quinn and Associates,Norske Skog
139,Bartholomew Quinn and Associates,Wallenius Wilhelmsen Logistics
338,Barton Deakin ,Navitas
338,Barton Deakin ,Corrs Chambers Westgarth
338,Barton Deakin ,Apple
338,Barton Deakin ,Yellow Edge
338,Barton Deakin ,Motorola
338,Barton Deakin ,Total Environment Centre
338,Barton Deakin ,Adobe
338,Barton Deakin ,AIME Mentoring
338,Barton Deakin ,CUB Pty Ltd
338,Barton Deakin ,Indue
338,Barton Deakin ,Harness Racing Australia Inc
338,Barton Deakin ,Cure for Life Foundation
338,Barton Deakin ,Camp Quality
338,Barton Deakin ,Open Universities Australia
338,Barton Deakin ,Aspen Medical
338,Barton Deakin ,Playtika Ltd
338,Barton Deakin ,International Social Games Coalition
338,Barton Deakin ,Trility
338,Barton Deakin ,Australian Centre for Healthcare Governance
338,Barton Deakin ,Canada Pension Plan Investment Board
338,Barton Deakin ,ViiV Healthcare
338,Barton Deakin ,Medibank Health Solutions Pty Ltd
338,Barton Deakin ,Crown Castle Australia Pty Limited
338,Barton Deakin ,Northgate Public Services Pty Ltd
338,Barton Deakin ,Royal Agricultural Society of NSW
338,Barton Deakin ,Yum! Restaurants Australia Pty Limited 
338,Barton Deakin ,The Song Room Inc 
338,Barton Deakin ,McDonald's Australia Ltd
338,Barton Deakin ,Australia Health Tourism Pty Ltd 
338,Barton Deakin ,RMIT University 
338,Barton Deakin ,Corning Cable Systems Pty Ltd 
338,Barton Deakin ,Settlement Services International 
338,Barton Deakin ,Uranium One Australia Pty Ltd
338,Barton Deakin ,The Caravan Camping & Touring Industry & Manufactured Housing Industry Association of NSW Ltd
338,Barton Deakin ,Citigroup Pty Limited
338,Barton Deakin ,Australian Private Hospitals Association Limited
338,Barton Deakin ,Renew Initiatives Australia Limited 
338,Barton Deakin ,Bowel Cancer Australia
338,Barton Deakin ,C.H. Group Pty Ltd
338,Barton Deakin ,Bain and Company Inc
338,Barton Deakin ,Buchanan Group
338,Barton Deakin ,AARNet Pty Ltd
338,Barton Deakin ,The Alliance for Safe Children
338,Barton Deakin ,Heathgate Resources Pty Ltd
338,Barton Deakin ,Ally Group
338,Barton Deakin ,CSL Australia
338,Barton Deakin ,National Pork Producers Council
338,Barton Deakin ,AMP Limited
338,Barton Deakin ,RUOK Limited
338,Barton Deakin ,INS Career Management
338,Barton Deakin ,Nextgen Group Holdings Pty Ltd 
338,Barton Deakin ,Ernst & Young
338,Barton Deakin ,Fujitsu Australia Ltd.
338,Barton Deakin ,Expedia Inc
338,Barton Deakin ,Honeywell Holdings Pty Ltd
338,Barton Deakin ,Teekay Shipping (Australia) Pty Ltd
338,Barton Deakin ,National Association of People With HIV Australia
338,Barton Deakin ,KinCare Health Services Pty Ltd
338,Barton Deakin ,IPAR Rehabilitation Pty Ltd
338,Barton Deakin ,St George Community Housing Limited 
338,Barton Deakin ,Nearmap Ltd
338,Barton Deakin ,Ferrier Hodgson
338,Barton Deakin ,Life Without Barriers
338,Barton Deakin ,Company B Limited
338,Barton Deakin ,The ORS Group Pty Ltd
338,Barton Deakin ,Gulf Savannah Development Inc. 
338,Barton Deakin ,Spotless Group Limited
338,Barton Deakin ,Lockheed Martin Overseas Corporation
338,Barton Deakin ,Children's Medical Research Institute
338,Barton Deakin ,Opal Aged Care
338,Barton Deakin ,Adults Surviving Child Abuse
338,Barton Deakin ,Orica Australia Pty Ltd
338,Barton Deakin ,ADV6 Pty Ltd
338,Barton Deakin ,Mark Moran Group Pty Ltd
338,Barton Deakin ,Early Learning and Care Council of Australia Inc
338,Barton Deakin ,Private Healthcare Australia Limited
338,Barton Deakin ,Accelerate Group Pty Ltd
338,Barton Deakin ,Dennis Family Corporation Pty Ltd
